propensityToLieDistribution,propensityToConform,numActors,numSubjects,subjectCountWhoAnsweredCorrectly
0.2,0.3,5,1,correct
propensityToLieDistribution,propensityToConform,numActors,numSubjects,subjectCountWhoAnsweredCorrectly
0.2,0.8,5,1,correct
